Customer ID,Name,Email,Telephone,City,Country,Gender,Date Of Birth,Job Title
39,Alexander Armstrong,alexander.armstrong@fake_hotmail.com,-5915,New York,United States,M,10/11/2004,
40,Charles Alvarado,charles.alvarado@fake_hotmail.com,001-995-998-4630x24816,New York,United States,M,7/7/2001,
41,Katherine Robinson,katherine.robinson@fake_hotmail.com,761.570.0555x542,New York,United States,F,9/24/1994,Marketing executive
42,Leslie Martin,leslie.martin@fake_gmail.com,825.826.5671x7104,New York,United States,F,10/21/2004,
43,April Alexander,april.alexander@fake_hotmail.com,9793160805,New York,United States,F,9/18/1961,Multimedia programmer
44,Ronald Watts,ronald.watts@fake_yahoo.com,001-306-206-4775,New York,United States,M,2/29/2000,"Horticulturist, amenity"
45,Austin Wolf,austin.wolf@fake_gmail.com,8987816537,New York,United States,M,3/15/2007,
46,Michael Jones,michael.jones@fake_yahoo.com,(403)971-6638x931,New York,United States,M,5/26/1994,"Psychotherapist, dance movement"
47,Nicholas Roberts,nicholas.roberts@fake_hotmail.com,852.556.5597,New York,United States,M,8/24/2000,Wellsite geologist
48,Kyle Thomas,kyle.thomas@fake_hotmail.com,+1-549-208-3391x9406,New York,United States,M,6/23/2002,
49,Lance Cruz,lance.cruz@fake_gmail.com,552.325.6514x31351,New York,United States,M,3/27/1988,"Nurse, mental health"
50,Megan Campos,megan.campos@fake_yahoo.com,630-353-8552,New York,United States,F,9/22/2000,Investment analyst
51,Caleb Smith,caleb.smith@fake_hotmail.com,619-619-5357x2482,New York,United States,M,12/21/2004,
52,Brian Nelson,brian.nelson@fake_gmail.com,+1-491-332-7202x8823,New York,United States,M,10/28/2003,
53,Christopher Hardy,christopher.hardy@fake_hotmail.com,949-949-5201x9061,New York,United States,M,1/9/2005,
54,Michael Martin,michael.martin@fake_yahoo.com,+1-977-312-7636x819,New York,United States,M,3/15/1983,Public house manager
55,Hector Farrell,hector.farrell@fake_gmail.com,(792)279-2410x22937,New York,United States,M,3/29/1975,Applications developer
56,Roger Farrell,roger.farrell@fake_hotmail.com,617.701.6602x360,New York,United States,M,10/31/1988,Special educational needs teacher
57,Brian Walker,brian.walker@fake_gmail.com,(765)366-0657x3003,New York,United States,M,7/26/2005,
58,Amanda Kim,amanda.kim@fake_yahoo.com,+1-934-228-2778x503,New York,United States,F,6/19/1999,Administrator
59,Rachel Hansen,rachel.hansen@fake_hotmail.com,001-517-438-4176x531,New York,United States,F,8/13/1991,"Engineer, maintenance"
60,Alexis Ramos,alexis.ramos@fake_hotmail.com,-3544,New York,United States,F,1/7/2004,
61,Heather Neal,heather.neal@fake_gmail.com,(351)518-0546x593,New York,United States,F,4/27/2004,
62,William White,william.white@fake_yahoo.com,950.321.1476x3033,New York,United States,M,1/23/1983,Clothing/textile technologist
63,Chloe Cordova,chloe.cordova@fake_yahoo.com,7114694169,New York,United States,F,1/31/2003,
64,Thomas Obrien,thomas.obrien@fake_gmail.com,395-289-7917x14694,New York,United States,M,2/21/1975,Retail merchandiser
